latitude,longitude,walkscore,bikescore,transitscore
44.97448,-93.12866,39,72,null
44.95099,-93.12862,75,65,null
44.95482,-93.11729,87,83,null
44.97819,-93.06167,77,60,null
45.03079,-93.05258,4,null,null
44.95581,-93.03445,36,40,null
44.9809,-93.02817,50,49,null
44.976,-92.99319,34,null,null
44.9128,-92.98846,5,null,null
44.91411,-92.98638,5,null,null
44.98731,-92.96631,9,null,null
44.98003,-92.96373,3,null,null
45.0173,-92.95072,0,null,null
44.89148,-92.9507,3,null,null
44.91809,-92.92579,42,null,null
44.91281,-92.91919,11,null,null
44.91308,-92.91766,7,null,null
44.90802,-92.89695,1,null,null
44.93366,-93.18296,69,71,null
44.94486,-93.15739,70,80,null
44.97816,-93.14385,40,71,null
44.92246,-93.13986,57,68,null
44.99096,-93.10868,68,58,null
44.92503,-93.07498,52,45,null
44.99274,-93.06934,21,null,null
44.95667,-93.05794,58,52,null
45.01903,-93.02682,28,null,null
44.9284,-92.99055,10,null,null
44.89206,-92.96863,3,null,null
44.93502,-92.95108,36,null,null
44.91832,-92.94951,28,null,null
45.03293,-92.94587,0,null,null
44.8948,-92.94213,6,null,null
44.90398,-92.92978,5,null,null
44.8734,-92.92227,0,null,null
44.92223,-92.89806,8,null,null
44.91506,-92.89267,5,null,null
44.92085,-92.89041,11,null,null
44.91062,-93.18199,42,40,null
44.93054,-93.16803,71,68,null
44.98407,-93.16662,62,58,null
44.94303,-93.12912,87,67,null
44.97125,-93.11116,62,51,null
44.97045,-93.10829,67,53,null
44.94099,-93.1042,88,74,null
44.95747,-93.07893,71,70,null
44.97092,-93.07815,76,52,null
44.97863,-93.07637,73,52,null
45.02799,-93.06003,1,null,null
44.9502,-93.0524,51,69,null
44.95017,-93.05116,46,68,null
45.01903,-93.04742,17,null,null
44.96484,-93.02701,47,46,null
44.98309,-93.01988,48,61,null
44.93986,-93.00737,20,60,null
44.9306,-93.0068,19,46,null
45.00148,-92.98375,32,null,null
44.9471,-92.97874,18,null,null
45.01831,-92.9677,9,null,null
44.97286,-92.95483,22,null,null
44.9711,-92.95426,28,null,null
45.02115,-92.92398,0,null,null
44.94582,-92.91872,53,null,null
44.9048,-92.89828,0,null,null
44.93782,-93.1549,74,73,null
44.94671,-93.15357,67,81,null
44.98438,-93.13328,26,47,null
44.97985,-93.11216,47,48,null
44.92574,-93.10426,55,60,null
44.97363,-93.10235,64,57,null
44.98127,-93.10151,52,53,null
44.92803,-93.08154,75,40,null
44.97595,-93.05291,61,72,null
44.96026,-93.02518,48,55,null
44.96283,-93.01247,32,62,null
44.96607,-93.00811,39,61,null
44.94364,-93.00621,25,66,null
44.92292,-93.00493,12,33,null
44.96296,-92.98715,40,null,null
44.93707,-92.97908,28,null,null
44.98004,-92.95776,2,null,null
44.93393,-92.92136,18,null,null
44.96324,-93.17652,71,83,null
44.9668,-93.15905,56,61,null
44.92172,-93.15512,62,56,null
44.9163,-93.14297,50,73,null
44.97135,-93.14098,41,68,null
44.94144,-93.12958,89,69,null
44.93844,-93.10138,66,67,null
44.96877,-93.08128,70,72,null
44.99417,-93.07395,15,null,null
44.99459,-93.06797,14,null,null
44.9704,-93.06286,79,71,null
44.96312,-93.05696,64,64,null
44.96631,-93.04709,45,67,null
44.99092,-93.04321,32,47,null
45.03286,-93.03138,55,null,null
44.98273,-93.02404,56,60,null
45.00075,-92.98351,33,null,null
44.96227,-92.98142,45,null,null
45.02023,-92.98025,34,null,null
45.02525,-92.9561,0,null,null
45.01867,-92.951,0,null,null
44.97557,-92.94832,8,null,null
44.95406,-92.92174,5,null,null
44.90669,-92.9137,5,null,null
44.95766,-92.90878,0,null,null
44.90794,-92.88414,7,null,null
45.00585,-92.87286,32,null,null
44.9649,-93.20711,73,80,null
44.95344,-93.1903,49,64,null
44.9582,-93.16561,85,81,null
44.94297,-93.16367,76,77,null
44.93616,-93.16128,66,68,null
44.96728,-93.15619,49,58,null
44.9331,-93.15238,55,67,null
44.97851,-93.12792,33,68,null
44.9415,-93.11482,70,63,null
44.94888,-93.11476,79,67,null
44.92466,-93.07271,43,38,null
44.97025,-93.05543,54,60,null
44.99773,-93.03713,26,null,null
44.96638,-93.00538,37,58,null
44.96125,-93.00504,43,64,null
44.97847,-92.9884,19,null,null
44.90005,-92.96769,10,null,null
45.0196,-92.96516,10,null,null
44.89533,-92.96373,8,null,null
44.96798,-92.95093,29,null,null
44.8995,-92.9324,6,null,null
44.94251,-92.89896,53,null,null
44.9292,-92.87679,1,null,null
44.92411,-92.87554,1,null,null
44.90266,-93.17501,64,55,null
44.9509,-93.16192,75,79,null
44.93635,-93.14423,81,69,null
44.93897,-93.13951,84,70,null
44.97683,-93.11497,49,54,null
44.92248,-93.08206,52,36,null
44.92933,-93.07282,65,50,null
44.92323,-93.06871,23,22,null
44.97553,-93.05212,61,72,null
45.01828,-93.02657,22,null,null
44.89707,-92.95979,4,null,null
45.0231,-92.9553,1,null,null
44.98826,-92.95217,3,null,null
45.01418,-92.95074,0,null,null
44.961,-92.93057,20,null,null
44.90741,-92.91389,4,null,null
44.91708,-92.88739,11,null,null
44.89552,-92.88694,1,null,null
44.90576,-93.18253,35,58,null
44.9473,-93.17335,79,78,null
44.91535,-93.14685,49,60,null
44.96074,-93.14623,61,65,null
44.96206,-93.12634,75,74,null
44.92676,-93.10057,58,63,null
44.97487,-93.09958,57,65,null
44.97401,-93.09799,53,69,null
44.98474,-93.0865,30,68,null
44.92212,-93.0841,46,34,null
44.99045,-93.07378,23,47,null
44.98027,-93.06831,72,59,null
44.96921,-93.06503,81,73,null
44.9719,-93.05963,69,61,null
45.01781,-93.05915,16,null,null
44.98736,-93.02925,67,57,null
44.98736,-93.02864,70,58,null
44.95777,-93.02851,46,47,null
44.9454,-93.01672,43,63,null
44.9663,-92.97287,25,null,null
44.96337,-92.97123,42,null,null
45.00209,-92.96927,10,null,null
44.98066,-92.96842,3,null,null
44.98915,-92.96707,12,null,null
45.01904,-92.96674,9,null,null
44.89179,-92.95467,4,null,null
44.92752,-92.94719,7,null,null
44.89413,-92.93563,4,null,null
44.95223,-92.92176,14,null,null
44.91729,-92.90061,17,null,null
44.9232,-93.19136,69,77,null
44.92561,-93.16721,66,64,null
44.938,-93.16135,69,72,null
44.96603,-93.16069,64,67,null
44.96221,-93.16035,70,74,null
44.9716,-93.14616,43,74,null
44.94088,-93.12834,89,69,null
44.97372,-93.11218,60,53,null
44.98497,-93.10726,67,56,null
44.96158,-93.08318,51,64,null
44.93784,-93.02057,8,37,null
44.9637,-93.00708,41,63,null
44.90833,-92.97601,21,null,null
44.98916,-92.9683,10,null,null
44.91003,-92.94506,9,null,null
44.93984,-92.94421,52,null,null
44.92757,-92.92197,6,null,null
44.9546,-92.92157,0,null,null
44.91777,-92.89256,9,null,null
44.93904,-92.88848,15,null,null
44.91322,-93.18289,65,51,null
44.93799,-93.17768,79,72,null
44.96406,-93.16699,82,76,null
44.96928,-93.12447,52,72,null
44.92744,-93.07526,60,45,null
44.92947,-93.06996,52,48,null
44.96214,-93.04235,42,57,null
44.94589,-93.0289,36,43,null
44.96934,-92.95009,26,null,null
44.9887,-92.94727,7,null,null
44.89876,-92.93498,4,null,null
44.90656,-92.93323,5,null,null
44.9402,-92.92452,58,null,null
44.91779,-92.92029,24,null,null
44.91435,-92.88748,8,null,null
44.89792,-92.88605,1,null,null
44.90438,-93.18559,32,64,null
44.90008,-93.1762,60,72,null
44.96008,-93.17142,81,79,null
44.95119,-93.16252,75,79,null
44.93316,-93.15661,61,68,null
44.92851,-93.14042,59,69,null
44.92485,-93.13803,65,62,null
44.92127,-93.13313,62,72,null
44.9727,-93.13065,45,68,null
44.98647,-93.13029,22,42,null
44.93527,-93.11866,55,79,null
44.9386,-93.10963,70,78,null
44.9941,-93.07611,16,null,null
44.99125,-93.0747,22,48,null
44.97531,-93.03849,66,69,null
44.93207,-92.96987,28,null,null
44.95361,-92.96546,38,null,null
45.00547,-92.96359,10,null,null
45.01267,-92.95574,0,null,null
44.94212,-92.94965,40,null,null
44.94467,-92.94885,36,null,null
44.91279,-92.9339,38,null,null
44.91367,-92.93027,35,null,null
44.9067,-92.93021,8,null,null
44.92888,-92.88308,3,null,null
44.9572,-93.19815,43,63,null
44.97875,-93.18968,65,75,null
44.95316,-93.18846,53,70,null
44.93597,-93.15701,60,69,null
44.98882,-93.12012,18,26,null
44.97008,-93.09567,30,57,null
44.92822,-93.09079,51,43,null
44.95118,-93.08949,96,65,null
44.99663,-93.07991,15,null,null
44.9264,-93.07431,61,45,null
44.96395,-93.00424,39,61,null
44.9047,-92.95959,14,null,null
44.94431,-92.95002,35,null,null
44.87528,-92.91093,0,null,null
44.93985,-92.90226,48,null,null
44.92454,-92.88054,3,null,null
44.95607,-93.1946,47,57,null
44.93692,-93.15605,67,70,null
44.9422,-93.13925,87,72,null
44.97228,-93.13727,35,68,null
44.96887,-93.10462,69,53,null
44.99702,-93.09218,23,null,null
44.92465,-93.08793,46,35,null
45.00494,-93.08777,23,null,null
44.98556,-93.07456,51,58,null
44.98732,-93.07196,41,52,null
44.94418,-93.02317,36,58,null
44.95835,-93.01439,52,67,null
44.98375,-93.01285,21,57,null
44.96034,-93.00504,43,64,null
44.98244,-92.97691,28,null,null
44.97987,-92.96795,3,null,null
44.91287,-92.96123,20,null,null
44.96641,-92.95108,31,null,null
45.01461,-92.94652,1,null,null
44.92662,-92.93991,10,null,null
