No.,latitude,longitude
1753,44.95144,-93.09396
1754,44.96921,-93.06487
1755,44.97408,-93.02666
1756,44.96622,-93.0954
1757,44.97186,-93.02686
1758,44.94439,-93.11568
1759,44.98208,-93.16185
1760,44.98415,-93.10703
1761,44.95838,-93.01751
1762,44.98871,-93.01977
1763,44.97646,-93.01028
1764,44.96322,-93.14343
1765,44.92988,-93.08437
1766,44.97845,-93.01484
1767,44.95772,-93.14621
1768,44.96828,-93.1249
1769,44.95762,-93.14286
1770,44.97574,-93.02771
1771,44.95032,-93.08563
1772,44.96395,-93.00424
1773,44.97841,-93.11345
1774,44.92248,-93.08206
1775,44.9703,-93.0802
1776,44.93497,-93.08754
1777,44.95853,-93.00486
1778,44.98133,-93.02566
1779,,
1780,44.96034,-93.00504
1781,44.96019,-93.14017
1782,44.98556,-93.07456
1783,44.97642,-93.05596
1784,44.98085,-93.07256
1785,,
1786,44.93432,-93.12369
1787,44.98941,-93.10234
1788,44.96305,-93.07823
1789,44.92551,-93.07877
1790,44.97839,-93.00689
1791,44.96304,-93.08376
1792,44.92396,-93.13882
1793,44.96586,-93.01142
1794,44.93326,-93.07959
1795,44.95123,-93.12124
1796,44.9567,-93.15498
1797,,
1798,44.95688,-93.03773
1799,44.93605,-93.11123
1800,44.97978,-93.03812
1801,44.95116,-93.03855
1802,44.96515,-93.03562
1803,44.97595,-93.11347
1804,44.9892,-93.07425
1805,44.97346,-93.12647
1806,44.97467,-93.0942
1807,44.97193,-93.14069
1808,44.97012,-93.01832
1809,44.97078,-93.08538
1810,44.98184,-93.02866
1811,44.96041,-93.04157
1812,44.95118,-93.03084
1813,44.97524,-93.1137
1814,44.97233,-93.05869
1815,44.92565,-93.13147
1816,44.98814,-93.01786
1817,44.95475,-93.17049
1818,44.95221,-93.12964
1819,44.93328,-93.11574
1820,44.98392,-93.01361
1821,44.9809,-93.02817
1822,44.98114,-93.11165
1823,44.92139,-93.08177
1824,44.98391,-93.06701
1825,44.97544,-93.08103
1826,44.97467,-93.0942
1827,44.97862,-93.01788
1828,44.95013,-93.06113
1829,44.96265,-93.04824
1830,44.90483,-93.16332
1831,44.96651,-93.16373
1832,44.97625,-93.08261
1833,44.96638,-93.00538
1834,44.98037,-93.11343
1835,44.99057,-93.02106
1836,44.97467,-93.0942
1837,44.96933,-93.03827
1838,44.97807,-93.1021
1839,44.9705,-93.01357
1840,44.96125,-93.00504
1841,44.97371,-93.09407
1842,44.97866,-93.06363
1843,44.98329,-93.02047
1844,44.97174,-93.02794
1845,44.94677,-93.1216
1846,44.94925,-93.17119
1847,44.9668,-93.15905
1848,44.97192,-93.06454
1849,44.94511,-93.12306
1850,44.99033,-93.07511
1851,44.97761,-93.10215
1852,44.95688,-93.03725
1853,44.98884,-93.04418
1854,44.92783,-93.08138
1855,44.95877,-93.01482
1856,44.96867,-93.04355
1857,44.98121,-93.0802
1858,44.95398,-93.05071
1859,44.92733,-93.0832
1860,44.97371,-93.09407
1861,44.96498,-93.14189
1862,44.97496,-93.02667
1863,44.98184,-93.0245
1864,44.99091,-93.01897
1865,44.95598,-93.0318
1866,44.98091,-93.0224
